month,Exact.Site,Site.Code,GWRPM25.ugm-3
2022-08-01,Lopez Ridge Vernal Pools,LRVP,7.599999904632568
2022-09-01,Lopez Ridge Vernal Pools,LRVP,10.300000190734863
2022-10-01,Lopez Ridge Vernal Pools,LRVP,8.399999618530273
2022-11-01,Lopez Ridge Vernal Pools,LRVP,6.099999904632568
2022-12-01,Lopez Ridge Vernal Pools,LRVP,6.699999809265137
2023-01-01,Lopez Ridge Vernal Pools,LRVP,6.400000095367432
2023-02-01,Lopez Ridge Vernal Pools,LRVP,6.099999904632568
2023-03-01,Lopez Ridge Vernal Pools,LRVP,6.300000190734863
2023-04-01,Lopez Ridge Vernal Pools,LRVP,9.600000381469727
2023-05-01,Lopez Ridge Vernal Pools,LRVP,7.0
2023-06-01,Lopez Ridge Vernal Pools,LRVP,10.5
2023-07-01,Lopez Ridge Vernal Pools,LRVP,9.800000190734863
2023-08-01,Lopez Ridge Vernal Pools,LRVP,10.5
2023-09-01,Lopez Ridge Vernal Pools,LRVP,11.699999809265137
2023-10-01,Lopez Ridge Vernal Pools,LRVP,8.300000190734863
2023-11-01,Lopez Ridge Vernal Pools,LRVP,6.599999904632568
2023-12-01,Lopez Ridge Vernal Pools,LRVP,8.699999809265137
2022-08-01,Wheatley Ranch,WR,8.800000190734863
2022-09-01,Wheatley Ranch,WR,8.699999809265137
2022-10-01,Wheatley Ranch,WR,5.900000095367432
2022-11-01,Wheatley Ranch,WR,3.9000000953674316
2022-12-01,Wheatley Ranch,WR,5.199999809265137
2023-01-01,Wheatley Ranch,WR,6.099999904632568
2023-02-01,Wheatley Ranch,WR,5.400000095367432
2023-03-01,Wheatley Ranch,WR,5.5
2023-04-01,Wheatley Ranch,WR,7.400000095367432
2023-05-01,Wheatley Ranch,WR,9.0
2023-06-01,Wheatley Ranch,WR,8.800000190734863
2023-07-01,Wheatley Ranch,WR,11.5
2023-08-01,Wheatley Ranch,WR,8.800000190734863
2023-09-01,Wheatley Ranch,WR,9.899999618530273
2023-10-01,Wheatley Ranch,WR,5.5
2023-11-01,Wheatley Ranch,WR,5.5
2023-12-01,Wheatley Ranch,WR,6.5
2022-08-01,Anza Borrego UC Reserve,ABUCR,13.399999618530273
2022-09-01,Anza Borrego UC Reserve,ABUCR,10.399999618530273
2022-10-01,Anza Borrego UC Reserve,ABUCR,10.399999618530273
2022-11-01,Anza Borrego UC Reserve,ABUCR,9.300000190734863
2022-12-01,Anza Borrego UC Reserve,ABUCR,12.100000381469727
2023-01-01,Anza Borrego UC Reserve,ABUCR,9.800000190734863
2023-02-01,Anza Borrego UC Reserve,ABUCR,8.5
2023-03-01,Anza Borrego UC Reserve,ABUCR,10.0
2023-04-01,Anza Borrego UC Reserve,ABUCR,13.0
2023-05-01,Anza Borrego UC Reserve,ABUCR,12.199999809265137
2023-06-01,Anza Borrego UC Reserve,ABUCR,14.899999618530273
2023-07-01,Anza Borrego UC Reserve,ABUCR,15.0
2023-08-01,Anza Borrego UC Reserve,ABUCR,11.0
2023-09-01,Anza Borrego UC Reserve,ABUCR,12.399999618530273
2023-10-01,Anza Borrego UC Reserve,ABUCR,10.800000190734863
2023-11-01,Anza Borrego UC Reserve,ABUCR,10.800000190734863
2023-12-01,Anza Borrego UC Reserve,ABUCR,14.300000190734863
2022-08-01,Tierra Del Sol,TDS,7.599999904632568
2022-09-01,Tierra Del Sol,TDS,7.400000095367432
2022-10-01,Tierra Del Sol,TDS,4.800000190734863
2022-11-01,Tierra Del Sol,TDS,3.5999999046325684
2022-12-01,Tierra Del Sol,TDS,5.900000095367432
2023-01-01,Tierra Del Sol,TDS,5.400000095367432
2023-02-01,Tierra Del Sol,TDS,6.599999904632568
2023-03-01,Tierra Del Sol,TDS,6.099999904632568
2023-04-01,Tierra Del Sol,TDS,7.099999904632568
2023-05-01,Tierra Del Sol,TDS,8.300000190734863
2023-06-01,Tierra Del Sol,TDS,8.399999618530273
2023-07-01,Tierra Del Sol,TDS,10.100000381469727
2023-08-01,Tierra Del Sol,TDS,5.800000190734863
2023-09-01,Tierra Del Sol,TDS,9.0
2023-10-01,Tierra Del Sol,TDS,4.300000190734863
2023-11-01,Tierra Del Sol,TDS,3.5
2023-12-01,Tierra Del Sol,TDS,6.400000095367432
2022-08-01,Picacho State Park,PSP,6.900000095367432
2022-09-01,Picacho State Park,PSP,5.5
2022-10-01,Picacho State Park,PSP,6.900000095367432
2022-11-01,Picacho State Park,PSP,8.899999618530273
2022-12-01,Picacho State Park,PSP,5.5
2023-01-01,Picacho State Park,PSP,6.0
2023-02-01,Picacho State Park,PSP,6.400000095367432
2023-03-01,Picacho State Park,PSP,4.199999809265137
2023-04-01,Picacho State Park,PSP,6.800000190734863
2023-05-01,Picacho State Park,PSP,8.199999809265137
2023-06-01,Picacho State Park,PSP,8.699999809265137
2023-07-01,Picacho State Park,PSP,10.899999618530273
2023-08-01,Picacho State Park,PSP,7.300000190734863
2023-09-01,Picacho State Park,PSP,7.599999904632568
2023-10-01,Picacho State Park,PSP,8.899999618530273
2023-11-01,Picacho State Park,PSP,9.699999809265137
2023-12-01,Picacho State Park,PSP,7.599999904632568
